FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1,36,047,000700,36047000700,7,Census Tract 7,G5020,S,176774,0,+40.6923505,-073.9973434,307801.4609375,2483.73809225043
2,36,047,000900,36047000900,9,Census Tract 9,G5020,S,163469,0,+40.6917206,-073.9916018,284626.5859375,2373.26971788578
3,36,047,001100,36047001100,11,Census Tract 11,G5020,S,168507,0,+40.6932903,-073.9877087,293415.55859375,2309.07779232916
4,36,047,001300,36047001300,13,Census Tract 13,G5020,S,293167,0,+40.6976150,-073.9883586,510546.515625,3076.71384858755
5,36,047,002000,36047002000,20,Census Tract 20,G5020,S,154138,0,+40.6480407,-074.0159276,268034.23828125,2189.24278943607
6,36,047,002100,36047002100,21,Census Tract 21,G5020,S,528955,39281,+40.7034471,-073.9871024,989734.75,4840.48162888469
7,36,047,002200,36047002200,22,Census Tract 22,G5020,S,340046,0,+40.6434585,-074.0216933,591229.81640625,4135.01578591943
8,36,047,002901,36047002901,29.01,Census Tract 29.01,G5020,S,109261,0,+40.6949933,-073.9780959,190258.66015625,1738.59810523152
9,36,047,003400,36047003400,34,Census Tract 34,G5020,S,477399,2570730,+40.6404176,-074.0334392,5299654.93359375,9785.04884173035
10,36,047,003700,36047003700,37,Census Tract 37,G5020,S,166448,0,+40.6893925,-073.9847008,289795.53515625,2921.42140257896
11,36,047,003900,36047003900,39,Census Tract 39,G5020,S,156923,0,+40.6849013,-073.9808240,273174.7265625,2054.97316611049
12,36,005,014100,36005014100,141,Census Tract 141,G5020,S,177165,0,+40.8237653,-073.9122950,309694.72265625,2737.97259314079
13,36,005,033000,36005033000,330,Census Tract 330,G5020,S,206129,0,+40.8616561,-073.8660255,360731.265625,2883.26161789077
14,36,005,021100,36005021100,211,Census Tract 211,G5020,S,151667,0,+40.8403976,-073.9235077,265253.375,2451.05294479608
15,36,005,004600,36005004600,46,Census Tract 46,G5020,S,135339,0,+40.8224189,-073.8691776,236567.81640625,2111.29691446985
16,36,005,005902,36005005902,59.02,Census Tract 59.02,G5020,S,70347,0,+40.8241059,-073.9234371,122971.71484375,2096.31492154842
17,36,005,028100,36005028100,281,Census Tract 281,G5020,S,129158,0,+40.8837896,-073.8906453,226179.80078125,2227.83859384941
18,36,005,022701,36005022701,227.01,Census Tract 227.01,G5020,S,117193,0,+40.8468041,-073.9110601,205001,1987.75842850853
19,36,005,031600,36005031600,316,Census Tract 316,G5020,S,177170,0,+40.8619716,-073.8487247,310055.28515625,2553.31895438612
20,36,005,019500,36005019500,195,Census Tract 195,G5020,S,219844,0,+40.8304774,-073.9225235,384375.42578125,2803.09606399093
21,36,005,028600,36005028600,286,Census Tract 286,G5020,S,200018,0,+40.8491849,-073.8477752,349909.203125,2446.66986037041
22,36,005,016400,36005016400,164,Census Tract 164,G5020,S,164578,0,+40.8322025,-073.8248470,287764.15625,2214.66817375236
23,36,005,036800,36005036800,368,Census Tract 368,G5020,S,169530,0,+40.8753072,-073.8559420,296804.5234375,2453.65179484311
24,36,005,006000,36005006000,60,Census Tract 60,G5020,S,336489,0,+40.8376356,-073.8777710,588442.98046875,3183.33233817959
25,36,005,037600,36005037600,376,Census Tract 376,G5020,S,124765,0,+40.8745386,-073.8692050,218428.15625,2339.92371882665
26,36,005,023301,36005023301,233.01,Census Tract 233.01,G5020,S,119112,0,+40.8495612,-073.9087543,208372.79296875,1817.17327108697
27,36,005,004001,36005004001,40.01,Census Tract 40.01,G5020,S,123145,0,+40.8282719,-073.8583355,215292.38671875,1981.89946424782
28,36,005,006900,36005006900,69,Census Tract 69,G5020,S,187978,0,+40.8218666,-073.9157567,328576.1484375,2631.99425911231
29,36,005,003100,36005003100,31,Census Tract 31,G5020,S,154703,0,+40.8098988,-073.9056901,270317.42578125,2345.16460801612
